,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
63628,4.0,宁夏,6879999.996,0.003,0.001,0.0,,
63629,4.0,安徽,63239999.993,0.006,0.001,0.0,32.297855625000004,117.78378999999998
64334,4.0,山东,100469999.998,0.002,0.0,0.0,36.72984058823529,118.55807705882354
65107,4.0,山西,37180000.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
65897,4.0,广东,113459999.992,0.007,0.002,0.0,23.33513857142857,114.03101857142859
66595,4.0,广西,49259999.998,0.001,0.0,0.0,,
66596,4.0,新疆,24870000.0,0.0,0.0,0.0,,
66597,4.0,江苏,80509999.995,0.004,0.001,0.0,33.117227692307694,119.85052999999999
67304,4.0,江西,46479999.99,0.008,0.002,0.0,28.422473636363634,116.2816772727273
67935,4.0,河北,75559999.998,0.002,0.0,0.0,39.43456181818181,116.94264636363637
68664,4.0,河南,96049999.976,0.019,0.005,0.0,34.62354470588235,114.39410823529411
69470,4.0,浙江,57369999.996,0.003,0.001,0.0,30.10409363636364,120.86088727272727
70060,4.0,海南,9339999.999,0.0,0.0,0.0,19.191874285714285,110.12555857142857
70828,4.0,湖北,59169825.25,160.55,86.4,27.8,31.060170000000003,113.48653125000003
71624,4.0,湖南,68989999.98,0.016,0.004,0.0,28.16187230769231,112.56216384615384
72266,4.0,甘肃,26370000.0,0.0,0.0,0.0,37.30401,103.87728333333332
73126,4.0,福建,39409999.997,0.002,0.001,0.0,26.142049999999998,118.73027333333334
73721,4.0,西藏,3439999.998,0.002,0.0,0.0,,
73722,4.0,贵州,35999999.999,0.001,0.0,0.0,27.496083333333335,107.00552
74250,4.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
75025,4.0,重庆,31019999.987,0.01,0.002,0.0,31.947670000000002,109.8788
75028,4.0,陕西,38639999.996,0.003,0.001,0.0,35.282599000000005,109.596947
75823,4.0,青海,6029999.998,0.002,0.0,0.0,36.88553,102.31702999999999
75897,4.0,黑龙江,37730000.0,0.0,0.0,0.0,47.34939249999999,130.2335575
76715,5.0,上海,24239999.995,0.004,0.001,0.0,31.6229,121.54409
76719,5.0,云南,48299999.999,0.001,0.0,0.0,25.904379999999996,102.30507500000002
77391,5.0,内蒙古,25339999.996,0.003,0.001,0.0,,
77392,5.0,北京,21539999.994,0.005,0.001,0.0,40.45678,117.12141000000001
77395,5.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
78094,5.0,四川,83409999.994,0.005,0.001,0.0,30.53237777777778,105.2965627777778
78967,5.0,天津,15599999.999,0.001,0.0,0.0,40.045770000000005,117.82478
78971,5.0,宁夏,6879999.994,0.005,0.001,0.0,,
78972,5.0,安徽,63239999.989,0.008,0.002,0.0,32.297855625000004,117.78378999999998
79677,5.0,山东,100469999.997,0.002,0.001,0.0,36.72984058823529,118.55807705882354
80450,5.0,山西,37179999.999,0.0,0.0,0.0,37.94250727272727,113.0517218181818
81240,5.0,广东,113459999.987,0.01,0.003,0.0,23.33513857142857,114.03101857142859
81938,5.0,广西,49259999.998,0.002,0.001,0.0,,
81939,5.0,新疆,24870000.0,0.0,0.0,0.0,,
