,day,susceptics,exposed,infected,recover,province_y,province_en
266,8,57369999,0,0,0,浙江省,Zhejiang
267,8,9339999,0,0,0,海南省,Hainan
268,8,59169995,2,1,0,湖北省,Hubei
269,8,68989999,0,0,0,湖南省,Hunan
270,8,26369999,0,0,0,甘肃省,Gansu
271,8,39409999,0,0,0,福建省,Fujian
272,8,3439999,0,0,0,西藏自治区,Tibet
273,8,35999999,0,0,0,贵州省,Guizhou
274,8,43589999,0,0,0,辽宁省,Liaoning
275,8,31019999,0,0,0,重庆声,Chongqing
276,8,38639999,0,0,0,陕西省,Shaanxi
277,8,6029999,0,0,0,青海省,Qinghai
278,8,37729999,0,0,0,黑龙江省,Heilongjiang
279,9,24239999,0,0,0,上海市,Shanghai
280,9,48299999,0,0,0,云南省,Yunnan
281,9,25339999,0,0,0,内蒙古自治区,Inner Mongolia
282,9,21539999,0,0,0,北京市,Beijing
283,9,27039999,0,0,0,吉林省,Jilin
284,9,83409999,0,0,0,四川省,Sichuan
285,9,15599999,0,0,0,天津市,Tianjin
286,9,6879999,0,0,0,宁夏回族自治区,Ningxia
287,9,63239999,0,0,0,安徽省,Anhui
288,9,100469999,0,0,0,山东省,Shandong
289,9,37179999,0,0,0,山西省,Shanxi
290,9,113459999,0,0,0,广东省,Guangdong
291,9,49259999,0,0,0,广西壮族自治区,Guangxi
292,9,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
293,9,80509999,0,0,0,江苏省,Jiangsu
294,9,46479999,0,0,0,江西省,Jiangxi
295,9,75559999,0,0,0,河北省,Hebei
296,9,96049999,0,0,0,河南省,Henan
297,9,57369999,0,0,0,浙江省,Zhejiang
298,9,9339999,0,0,0,海南省,Hainan
299,9,59169995,2,1,0,湖北省,Hubei
300,9,68989999,0,0,0,湖南省,Hunan
301,9,26369999,0,0,0,甘肃省,Gansu
302,9,39409999,0,0,0,福建省,Fujian
303,9,3439999,0,0,0,西藏自治区,Tibet
304,9,35999999,0,0,0,贵州省,Guizhou
305,9,43589999,0,0,0,辽宁省,Liaoning
306,9,31019999,0,0,0,重庆声,Chongqing
307,9,38639999,0,0,0,陕西省,Shaanxi
308,9,6029999,0,0,0,青海省,Qinghai
309,9,37729999,0,0,0,黑龙江省,Heilongjiang
310,10,24239999,0,0,0,上海市,Shanghai
311,10,48299999,0,0,0,云南省,Yunnan
312,10,25339999,0,0,0,内蒙古自治区,Inner Mongolia
313,10,21539999,0,0,0,北京市,Beijing
314,10,27039999,0,0,0,吉林省,Jilin
315,10,83409999,0,0,0,四川省,Sichuan
316,10,15599999,0,0,0,天津市,Tianjin
317,10,6879999,0,0,0,宁夏回族自治区,Ningxia
318,10,63239999,0,0,0,安徽省,Anhui
319,10,100469999,0,0,0,山东省,Shandong
320,10,37179999,0,0,0,山西省,Shanxi
321,10,113459999,0,0,0,广东省,Guangdong
322,10,49259999,0,0,0,广西壮族自治区,Guangxi
323,10,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
324,10,80509999,0,0,0,江苏省,Jiangsu
325,10,46479999,0,0,0,江西省,Jiangxi
326,10,75559999,0,0,0,河北省,Hebei
327,10,96049999,0,0,0,河南省,Henan
328,10,57369999,0,0,0,浙江省,Zhejiang
329,10,9339999,0,0,0,海南省,Hainan
330,10,59169994,3,1,1,湖北省,Hubei
331,10,68989999,0,0,0,湖南省,Hunan
332,10,26369999,0,0,0,甘肃省,Gansu
333,10,39409999,0,0,0,福建省,Fujian
334,10,3439999,0,0,0,西藏自治区,Tibet
335,10,35999999,0,0,0,贵州省,Guizhou
336,10,43589999,0,0,0,辽宁省,Liaoning
337,10,31019999,0,0,0,重庆声,Chongqing
338,10,38639999,0,0,0,陕西省,Shaanxi
339,10,6029999,0,0,0,青海省,Qinghai
340,10,37729999,0,0,0,黑龙江省,Heilongjiang
341,11,24239999,0,0,0,上海市,Shanghai
342,11,48299999,0,0,0,云南省,Yunnan
343,11,25339999,0,0,0,内蒙古自治区,Inner Mongolia
344,11,21539999,0,0,0,北京市,Beijing
345,11,27039999,0,0,0,吉林省,Jilin
346,11,83409999,0,0,0,四川省,Sichuan
347,11,15599999,0,0,0,天津市,Tianjin
348,11,6879999,0,0,0,宁夏回族自治区,Ningxia
349,11,63239999,0,0,0,安徽省,Anhui
350,11,100469999,0,0,0,山东省,Shandong
351,11,37179999,0,0,0,山西省,Shanxi
352,11,113459999,0,0,0,广东省,Guangdong
353,11,49259999,0,0,0,广西壮族自治区,Guangxi
